"Content Length","Server time (ms)","Total time (ms)","Network Latency (ms)",Free,Buff,Cache,User,System,Idle
100,0.16836488,5.32458,5.15621512,120458,71536,573476,0,6,94
500,0.721633199,4.983599,4.261965801,116559,89488,578531,8,0,92
1000,1.421395141,5.731146,4.309750859,116189,89490,578879,6,0,94
1500,2.151530011,6.569048,4.417517989,115979,89492,579236,2,5,93
2000,3.02763441,8.26934,5.24170559,120753,71536,573926,28,40,32
2500,3.526220465,8.055525,4.529304535,114300,89494,579918,3,4,93
3000,4.207268337,8.752014,4.544745663,113326,89496,580265,3,3,94
3500,5.30027736,10.8654,5.56512264,121213,71536,574033,19,54,27
4000,5.89585319,11.33162,5.43576681,121422,71538,574070,30,35,35
4500,6.45339966,11.83326,5.37986034,121424,71540,574101,22,50,28
5000,7.032331756,11.810107,4.777775244,109868,89520,581671,23,2,75
6000,8.409187248,13.227593,4.818405752,109934,89522,582016,29,1,70
7000,9.93991185,15.29156,5.35164815,121176,71542,574215,33,22,45
8000,11.205548847,16.111013,4.905464153,108405,89534,582713,36,0,64
9000,12.720729853,17.76032,5.039590147,108013,89547,583074,32,1,67
10000,14.71503764,20.42806,5.71302236,121018,71548,574316,30,35,35
15000,21.75662385,27.46135,5.70472615,120928,71548,574351,32,18,50
20000,32.35050569,38.78225,6.43174431,120861,71548,574388,36,20,44
25000,35.72262056,41.34579,5.62316944,120546,71548,574424,39,18,43
30000,41.83975135,47.21971,5.37995865,120034,71550,574460,33,14,53
35000,49.16499724,54.67138,5.50638276,119608,71556,574496,37,16,47
40000,56.61778669,62.40299,5.78520331,119424,71560,574532,44,27,29
45000,63.0150092,68.66815,5.6531408,119277,71560,574566,41,36,23
50000,72.7982998,78.50362,5.7053202,119251,71562,574602,39,35,26
60000,84.42709175,90.04846,5.62136825,119100,71566,574639,41,39,20
70000,101.1320424,106.90713,5.7750875999999,119402,71571,574672,43,36,21
80000,112.77718897,118.50245,5.72526103,120069,71577,574706,38,40,22
90000,126.69018234,132.4107,5.72051766,120000,71588,574745,44,38,18
100000,140.43136223,146.1695,5.73813777,119858,71597,574789,42,33,25
150000,213.05978978,218.85961,5.79982022,120284,71603,574827,42,38,20
200000,281.18100789,286.91093,5.7299221099999,121271,71607,574871,42,39,19
250000,350.37515977,356.23873,5.8635702300001,121041,71614,574911,42,44,14
300000,417.70517575,423.46593,5.7607542500001,122011,71629,574950,43,42,15
350000,498.58394279,504.60115,6.01720721,119267,71667,575855,43,39,18
400000,558.16190874,563.99574,5.83383126,116742,71699,576419,43,39,18
450000,640.51969043,646.74656,6.2268695700002,115886,71731,576475,44,43,13
500000,712.37404184,718.47784,6.1037981600004,115637,71740,576516,43,43,14
600000,861.24614561,867.48271,6.2365643899997,115253,71779,576574,44,43,13
700000,980.39248178,986.44139,6.0489082200004,115693,71819,576651,45,42,13
800000,1105.03141388,1111.1862,6.1547861199998,114852,71884,576809,43,42,15
900000,1252.16795699,1258.56538,6.3974230099998,113394,71955,576946,44,42,14
1000000,1381.12171714,1387.28366,6.1619428600001,114615,72008,577021,44,42,14
